set,number,name,cost,unique,level,range,movement,power,hp,quick,type,subtype,effect
BK1,1,Mercenary,W,no,0,0,1,1,1,no,character,Mercenary,
BK1,2,Bold Siege Squadron,W,no,1,0,1,1,2,no,character,Mercenary Infantry,"When this character attacks an occupied city, it gains +1/+1 until end of turn."
BK1,3,Moonlight Raiders,W,no,1,0,1,3,3,no,character,Hawk Cavalry,Return this card to your hand at the end of the turn. (Mandatory)
BK1,4,Urgent Dispatch Rider,W,no,1,0,2,1,1,no,character,Hawk Cavalry,"When this card is opened, target 1 character in this area and it gains +1/+1 until end of turn."
BK1,5,Readied Archers,W,no,1,1,1,2,1,no,character,Hawk Archer,
BK1,6,Forced Rescue Unit,W,no,1,1,2,1,2,no,character,Hawk Archer,
BK1,7,Cavalry On Alert,W,no,1,0,2,1,2,no,character,Hawk Cavalry,
BK1,8,Sword-drawn Cavalry Unit,W,no,1,0,2,3,1,no,character,Hawk Cavalry,
BK1,9,Griffith,WW,yes,2,0,1,4,3,no,character,Hawk Leader,"1: Target another character with the ""Hawk"" subtype that you control, within 3 spaces. Move that character to this area."
BK1,10,Griffith,WW,yes,2,0,1,4,3,no,character,Hawk Leader,"Other ""Hawk"" type characters you own in this area gain +1/+1"
BK1,11,Guts,W1,yes,1,0,1,2,3,no,character,Hawk ,(Quick) 1: This character gets +1/+1 until end of turn. Use only once per turn.
BK1,12,Guts,W,yes,2,0,1,3,3,no,character,Hawk ,"When this character attacks, if it is the vanguard, it receives +1/+1 until end of turn."
BK1,13,Casca,W,yes,1,0,1,2,2,no,character,Hawk ,(Quick) Tap: Target white (color) character in this area gains +1/+1 until end of turn.
BK1,14,Casca,W,yes,1,0,1,2,2,no,character,Hawk ,"If you control a card named ""Griffith"", this character gains +1/+1 and +1 Movement."
BK1,15,Judeau,W,yes,1,0,1,2,1,no,character,Hawk ,(Quick) W: This character deals 1 damage to a target character in this area.
BK1,16,Judeau,W,yes,1,1,1,2,2,no,character,Hawk ,
BK1,17,Corkus,W,yes,1,0,1,1,1,no,character,Hawk ,"When this card is opened, you opponent discards 1 card."
BK1,18,Corkus,W,yes,1,0,1,1,2,no,character,Hawk ,"At the start of your turn, if you occupy the area this card is in, draw one card."
BK1,19,Pippin,W,yes,1,0,1,1,3,no,character,Hawk ,(Quick) W:This character gains +2/-1 until end of turn. Do this only once per turn.
BK1,20,Pippin,W,yes,1,0,1,3,3,no,character,Hawk ,This character cannot attack the turn its opened.
BK1,21,Rickert,W,yes,1,0,1,1,2,no,character,Hawk ,Tap: You may look at all set cards in this area.
BK1,22,Rickert,W,yes,1,1,1,1,2,no,character,Hawk ,"When this card is opened, you reveal the capital to yourself."
BK1,23,Promised Bounty,W,no,1,,,,,yes,Effect,Normal,"When this card is opened, if you captured this area this turn, look at the top 5 cards of your library, select 2 to put into your hand."
BK1,24,Foolish Banditry,W,no,1,,,,,yes,Effect,Normal,"When this card is opened, draw 1 card and your opponent discards 1 card."
BK1,25,Request To Join,W,no,1,,,,,no,Effect,Normal,Search your deck for up to 2 cards named Mercenary and set them in this area.
BK1,26,Negotiate By Force,W,no,1,,,,,yes,Effect,Normal,Target character in this area gains +1/+1 until end of turn
BK1,27,Brilliant Counterattack,W,no,1,,,,,yes,Effect,Normal,Target a level 1 or lower character in this area. Until end of turn any damage dealt by that character to any of your characters in this area is instead dealt to itself.
BK1,28,Solo Raid Operation,W,no,1,,,,,yes,Effect,Normal,"This card can only be opened if the area level is 1 or less, and if a character you control moved to this area this turn. Unlock 1 character you control here, then draw 1 card."
BK1,29,Rear Guard Designation,W,no,1,,,,,no,Effect,Normal,"When this card is opened, target a character you control in this area, it gains +1/+2 until end of turn. While defending it gains an additional +1/+1."
BK1,30,Midnight Departure,W,no,2,,,,,yes,Effect,Normal,"When this card Is opened, open 1 set white character card you have in this area."
BK1,31,Scouting Duty,W,no,2,,,,,yes,Effect,Normal,"When this card is opened, target 1 set card in this area, it cannot be opened this turn."
BK1,32,Fleeing Sentries,W,no,1,,,,,no,Effect,Normal,"When this card is opened, target an enemy character that is level 2 or less in this area. Move it to an adjacent area, then draw 1 card."
BK1,33,Critical Rescue,W,no,2,,,,,yes,Effect,Normal,"When this card is opened, if the area level is 2 or less, return 1 character you control in this area to your hand."
BK1,34,Volley Shot,W,no,2,,,,,no,Effect,Normal,"When this card is opened, if you occupy this area, deal 3 damage to target attacking character."
BK1,35,Welcome To The Band,W,no,2,,,,,yes,Effect,Normal,"When this card is opened, if you opened a character in this area this turn, unlock all characters in this area. Characters unlocked this way cannot participate in battle the rest of the turn."
BK1,36,Early Morning Conversation,W,no,1,,,,,yes,Effect,Normal,"When this card is opened, unlock a character that moved to this area this turn. Then draw 2 cards."
BK1,37,Sobering Quarrel,W,no,2,,,,,yes,Effect,Normal,"When this card is opened, if you captured this area this turn, unlock all characters you control in this area. They receive +2 Movement until end of turn. They cannot participate in battle this turn."
BK1,38,Declaration Of Ambition,W,no,2,,,,,no,Effect,Normal,"Unlock all ""Hawk"" characters. They all gain +1/+1 until end of turn."
BK1,39,Promotion To Captain,W,no,2,,,,,yes,Effect,Normal,This card can only be opened if you captured this area this turn. Search your deck for up to 3 Mercenary cards and set them in this area.
BK1,40,Spring Into Battle,W,no,2,,,,,yes,Effect,Normal,"When this card is opened, target character in this area gains +2/+2 until end of turn."
BK1,41,Mercenary,G,no,0,0,1,1,1,no,character,Mercenary,
BK1,42,Golem,G,no,1,0,0,1,3,no,character,Magical Creature,
BK1,43,Golem,G,no,1,0,0,1,2,no,character,Magical Creature,"When this character dies, draw 1 card."
BK1,44,Guts,1G,yes,3,0,1,5,6,no,character,Branded,Tap: Deal 4 damage to target character in this area.
BK1,45,Guts,GG,yes,3,0,1,6,5,no,character,Branded,(Quick) G: This character receives +2/+2 until the end of the turn. Can only be used once per turn.
BK1,46,Guts,1G,yes,4,0,1,7,7,no,character,Branded,(Quick) Tap: Target character currently in combat in this area takes 3 damage.
BK1,47,Casca,G,yes,1,0,1,1,1,no,character,Branded,"When this card is opened, draw 3 cards, then discard 2 cards."
BK1,48,Casca,G,yes,1,0,1,1,1,no,character,Branded,(Quick) 1: Return this card to your hand. Draw 2 cards.
